item_id,item_name,quantity_bought,avg_buy_price,quantity_sold,avg_sell_price,total_volume,profit_per_item,profit_margin_pct,estimated_total_profit
26541,Kryta's Embrace,40.0,2300.0,34.0,3206.75,74.0,906.75,39.42391304347826,30829.5
76230,Recipe: Svaard's Doublet,54.0,16.0,20.0,4488.25,74.0,4472.25,27951.5625,89445.0
97218,Spindrift Mace,37.0,2630.0,36.0,4877.166666666667,73.0,2247.166666666667,85.44359949302917,80898.00000000001
44964,Entropy,40.0,10019.666666666666,33.0,14900.833333333334,73.0,4881.166666666668,48.715858811005035,161078.50000000003
97112,Spindrift Sword,37.0,2750.25,35.0,5285.666666666667,72.0,2535.416666666667,92.18858891615915,88739.58333333334
89216,Charm of Skill,72.0,8268.0,0.0,,72.0,,,
28430,Peasant's Solution,45.0,3201.0,27.0,4998.5,72.0,1797.5,56.15432677288348,48532.5
24523,Medallion of the Soldier,0.0,,72.0,148.2,72.0,,,
76180,Recipe: Svaard's Reaver,33.0,119.0,39.0,1445.2857142857142,72.0,1326.2857142857142,1114.5258103241297,51725.142857142855
12333,Kale Leaf,0.0,,71.0,410.0,71.0,,,
93734,Shard of Crystallized Blood of Jormag,0.0,,71.0,2.0,71.0,,,
76166,Superior Rune of the Tempest,35.0,30077.5,35.0,38925.4,70.0,8847.900000000001,29.41700606765855,309676.50000000006
47083,Glimmerfang,34.0,2455.0,34.0,3773.2,68.0,1318.1999999999998,53.69450101832993,44818.799999999996
97284,Jade Bot Core: Tier 3,34.0,51113.0,34.0,86794.57142857143,68.0,35681.571428571435,69.80919028147719,1213173.4285714289
96051,Saltspray's Voice,46.0,2896.0,22.0,4797.333333333333,68.0,1901.333333333333,65.65377532228361,41829.33333333333
96467,Jade Bot Core: Tier 6,33.0,133058.5,34.0,168408.0,67.0,35349.5,26.566885993754624,1201883.0
97561,Saltspray Scepter,33.0,2769.0,34.0,3491.6666666666665,67.0,722.6666666666665,26.0984711688937,24570.66666666666
96504,Spindrift Short Bow,33.0,2361.0,33.0,3434.5,66.0,1073.5,45.46802202456586,35425.5
95997,Final Verdict,33.0,2440.0,33.0,5417.0,66.0,2977.0,122.00819672131146,98241.0
97020,Jade Bot Core: Tier 7,35.0,161076.8,31.0,209181.58333333334,66.0,48104.783333333355,29.864501488316975,1491248.283333334
97288,Spindrift Shield,33.0,3028.0,33.0,3984.5,66.0,956.5,31.588507265521798,31564.5
28272,Eir's Longbow,33.0,2725.0,33.0,4895.0,66.0,2170.0,79.63302752293579,71610.0
104351,Sinister Scavenged Obsidian Spear,33.0,2945.0,33.0,4908.0,66.0,1963.0,66.6553480475382,64779.0
